group,replicate,fastq_1,fastq_2,control
h3k27ac_nt,1,raw/cutandrun/APK-TN-CR-522-Treg-NT-H3K27ac-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-522-Treg-NT-H3K27ac-rep1_R2_001.fastq.gz,igg_nt_250k
h3k27ac_nt,2,raw/cutandrun/APK-TN-CR-528-Treg-NT-H3K27ac-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-528-Treg-NT-H3K27ac-rep2_R2_001.fastq.gz,igg_nt_250k
h3k27ac_sat1,1,raw/cutandrun/APK-TN-CR-534-Treg-SAT1-OE-H3K27ac-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-534-Treg-SAT1-OE-H3K27ac-rep1_R2_001.fastq.gz,igg_sat1_250k
h3k27ac_sat1,2,raw/cutandrun/APK-TN-CR-540-Treg-SAT1-OE-H3K27ac-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-540-Treg-SAT1-OE-H3K27ac-rep2_R2_001.fastq.gz,igg_sat1_250k
h3k4me1_nt,1,raw/cutandrun/APK-TN-CR-523-Treg-NT-H3K4me1-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-523-Treg-NT-H3K4me1-rep1_R2_001.fastq.gz,igg_nt_250k
h3k4me1_nt,2,raw/cutandrun/APK-TN-CR-529-Treg-NT-H3K4me1-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-529-Treg-NT-H3K4me1-rep2_R2_001.fastq.gz,igg_nt_250k
h3k4me1_sat1,1,raw/cutandrun/APK-TN-CR-535-Treg-SAT1-OE-H3K4me1-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-535-Treg-SAT1-OE-H3K4me1-rep1_R2_001.fastq.gz,igg_sat1_250k
h3k4me1_sat1,2,raw/cutandrun/APK-TN-CR-541-Treg-SAT1-OE-H3K4me1-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-541-Treg-SAT1-OE-H3K4me1-rep2_R2_001.fastq.gz,igg_sat1_250k
rorg_nt,1,raw/cutandrun/APK-TN-CR-526-Treg-NT-RORg-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-526-Treg-NT-RORg-rep1_R2_001.fastq.gz,igg_nt_400k
rorg_nt,2,raw/cutandrun/APK-TN-CR-532-Treg-NT-RORg-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-532-Treg-NT-RORg-rep2_R2_001.fastq.gz,igg_nt_400k
rorg_sat1,1,raw/cutandrun/APK-TN-CR-538-Treg-SAT1-OE-RORg-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-538-Treg-SAT1-OE-RORg-rep1_R2_001.fastq.gz,igg_sat1_400k
rorg_sat1,2,raw/cutandrun/APK-TN-CR-544-Treg-SAT1-OE-RORg-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-544-Treg-SAT1-OE-RORg-rep2_R2_001.fastq.gz,igg_sat1_400k
sat1_nt,1,raw/cutandrun/APK-TN-CR-525-Treg-NT-SAT1-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-525-Treg-NT-SAT1-rep1_R2_001.fastq.gz,igg_nt_400k
sat1_nt,2,raw/cutandrun/APK-TN-CR-531-Treg-NT-SAT1-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-531-Treg-NT-SAT1-rep2_R2_001.fastq.gz,igg_nt_400k
sat1_sat1,1,raw/cutandrun/APK-TN-CR-537-Treg-SAT1-OE-SAT1-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-537-Treg-SAT1-OE-SAT1-rep1_R2_001.fastq.gz,igg_sat1_400k
sat1_sat1,2,raw/cutandrun/APK-TN-CR-543-Treg-SAT1-OE-SAT1-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-543-Treg-SAT1-OE-SAT1-rep2_R2_001.fastq.gz,igg_sat1_400k
igg_nt_250k,1,raw/cutandrun/APK-TN-CR-524-Treg-NT-IgG-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-524-Treg-NT-IgG-rep1_R2_001.fastq.gz,
igg_nt_250k,2,raw/cutandrun/APK-TN-CR-530-Treg-NT-IgG-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-530-Treg-NT-IgG-rep2_R2_001.fastq.gz,
igg_sat1_250k,1,raw/cutandrun/APK-TN-CR-536-Treg-SAT1-OE-IgG-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-536-Treg-SAT1-OE-IgG-rep1_R2_001.fastq.gz,
igg_sat1_250k,2,raw/cutandrun/APK-TN-CR-542-Treg-SAT1-OE-IgG-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-542-Treg-SAT1-OE-IgG-rep2_R2_001.fastq.gz,
igg_nt_400k,1,raw/cutandrun/APK-TN-CR-527-Treg-NT-IgG-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-527-Treg-NT-IgG-rep1_R2_001.fastq.gz,
igg_nt_400k,2,raw/cutandrun/APK-TN-CR-533-Treg-NT-IgG-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-533-Treg-NT-IgG-rep2_R2_001.fastq.gz,
igg_sat1_400k,1,raw/cutandrun/APK-TN-CR-539-Treg-SAT1-OE-IgG-rep1_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-539-Treg-SAT1-OE-IgG-rep1_R2_001.fastq.gz,
igg_sat1_400k,2,raw/cutandrun/APK-TN-CR-545-Treg-SAT1-OE-IgG-rep2_R1_001.fastq.gz,raw/cutandrun/APK-TN-CR-545-Treg-SAT1-OE-IgG-rep2_R2_001.fastq.gz,
